qw_pred,qx_pred,qy_pred,qz_pred,pitch_pred,roll_pred,yaw_pred,qw_true,qx_true,qy_true,qz_true,pitch_true,roll_true,yaw_true
0.074607745,0.020913657,-0.9395153,0.32922614,6.472308597376178,-38.11969270105404,-168.6809829326948,0.008368719,-0.02861970000000001,-0.8940217,0.4470303,-4.173927287929739,-53.109918779960594,178.98589519862682
0.07358466,0.018264346,-0.93954,0.3295182,6.0664848856723905,-38.19335641931469,-168.94144284820658,0.005777422,-0.03162352,-0.8933345,0.44824120000000006,-4.920272548729808,-53.24714128903015,178.2735259444267
0.07238055,0.015067316,-0.93954784,0.32978308,5.575999757896681,-38.271434576631364,-169.25343750453152,0.003382912,-0.03460946000000002,-0.8926755,0.4493565,-5.650737818710441,-53.368847508848276,177.5924357099164
0.07106734,0.011505491,-0.9395523,0.33006302,5.029418998048702,-38.354243629752084,-169.59865099992066,0.003382912,-0.03460946000000002,-0.8926755,0.4493565,-5.650737818710441,-53.368847508848276,177.5924357099164
0.06974491,0.0080302255,-0.93958235,0.3303721,4.493183246339396,-38.43577685488976,-169.94250495955842,0.0009689031,-0.03763944999999998,-0.8918133,0.45083400000000007,-6.400720971338454,-53.53234377700463,176.89349677548952
0.0684393,0.0046955594,-0.9396387,0.33071417,3.9761248763452275,-38.515763586403104,-170.2787208353945,0.00059802,0.04008370000000003,0.8908358000000001,-0.4525535,-6.986632095359175,-53.73150157270011,176.38054024943466
0.06717755,0.0014953623,-0.93971443,0.3310807,3.478777779361833,-38.59364380702714,-170.60372033816924,0.001553702,0.04269355999999997,0.8898371,-0.454274,-7.553702013910953,-53.93279363567658,175.9525625740952
0.0659716,-0.0016123848,-0.93980134,0.33146006,2.9959723343683224,-38.66905166267289,-170.9177340011553,0.001553702,0.04269355999999997,0.8898371,-0.454274,-7.553702013910953,-53.93279363567658,175.9525625740952
0.064914785,-0.0042754193,-0.9399111,0.33184132,2.5808256267758023,-38.73685638132512,-171.19091466931096,0.00277559,0.045741530000000016,0.8888848000000001,-0.4558331,-8.222569810503195,-54.10690616028578,175.437573022985
0.06394922,-0.006718923,-0.9400283,0.33221993,2.199745686316755,-38.80015019514511,-171.44169986891077,0.004711976999999999,0.049478699999999994,0.8879251,-0.457295,-9.078430078632518,-54.254620596919565,174.7335826477138
0.064004324,0.0013257856,-0.8214227,0.27818894,3.5951790850550553,-37.16578084959596,-169.88009200360926,0.006682723,0.052994689999999955,0.8871817999999999,-0.458318,-9.893309353064954,-54.34233285719545,174.04936400728664
0.06830533,0.005748058,-0.21808529,0.1567403,40.8868670397035,-61.59870030476083,-120.1628070772435,0.006682723,0.052994689999999955,0.8871817999999999,-0.458318,-9.893309353064954,-54.34233285719545,174.04936400728664
0.0700056,0.00052547245,0.70429623,-0.048266817,-0.8615564342760836,-7.7556407890947385,168.58872325407648,0.008199638,0.055918869999999975,0.8866614000000002,-0.4589527,-10.556830831212714,-54.38556904211216,173.5052034643449
